Partido,Local,Visitante,Temporada,Puntos Local,Puntos Visitante,Puntos en zona Local,Puntos 2a oportunidad Local,Puntos en transición Local,Triples Local,Triples intentados Local,% triples Local,Tiros libres Local,Tiros libres intentados Local,% tiros libres Local,Puntos en zona Visitante,Puntos 2a oportunidad Visitante,Puntos en transición Visitante,Triples Visitante,Triples intentados Visitante,% triples Visitante,Tiros libres Visitante,Tiros libres intentados Visitante,% tiros libres Visitante,Puntos de media distancia Local,Puntos de media distancia Visitante,Puntos en zona Total,Puntos de media distancia Total,Puntos de 3 Total,Puntos tiros libres Total,Puntos en transición Total,Puntos Total,Triples intentados Total,Triples encestados Total
CHI vs. CLE,CHI,CLE,2008,102.0,93.0,34.0,13.0,18.0,7.0,13.0,0.538,19.0,26.0,0.731,24.0,10.0,5.0,10.0,26.0,0.385,17.0,25.0,0.68,42.0,42.0,58.0,84.0,51.0,36.0,23.0,195.0,39.0,17.0
NJN vs. POR,POR,NJN,2008,99.0,105.0,42.0,16.0,13.0,9.0,23.0,0.391,12.0,17.0,0.706,42.0,10.0,10.0,5.0,14.0,0.357,26.0,33.0,0.788,36.0,32.0,84.0,68.0,42.0,38.0,23.0,204.0,37.0,14.0
PHX vs. MIN,PHX,MIN,2008,103.0,105.0,60.0,11.0,14.0,2.0,14.0,0.143,17.0,21.0,0.81,56.0,20.0,18.0,7.0,23.0,0.304,14.0,19.0,0.737,24.0,28.0,116.0,52.0,27.0,31.0,32.0,208.0,37.0,9.0
MEM vs. UTA,UTA,MEM,2008,91.0,101.0,28.0,11.0,6.0,3.0,12.0,0.25,24.0,29.0,0.828,44.0,19.0,10.0,7.0,19.0,0.368,20.0,27.0,0.741,36.0,30.0,72.0,66.0,30.0,44.0,16.0,192.0,31.0,10.0
PHI vs. SAS,PHI,SAS,2008,109.0,87.0,48.0,16.0,30.0,8.0,14.0,0.571,15.0,19.0,0.789,24.0,8.0,6.0,7.0,21.0,0.333,18.0,20.0,0.9,38.0,38.0,72.0,76.0,45.0,33.0,36.0,196.0,35.0,15.0
SAC vs. MIL,MIL,SAC,2008,122.0,129.0,56.0,8.0,18.0,9.0,24.0,0.375,43.0,51.0,0.843,40.0,16.0,8.0,10.0,17.0,0.588,29.0,33.0,0.879,14.0,50.0,96.0,64.0,57.0,72.0,26.0,251.0,41.0,19.0
CLE vs. NOH,NOH,CLE,2008,92.0,78.0,28.0,13.0,2.0,10.0,22.0,0.455,18.0,22.0,0.818,24.0,10.0,13.0,5.0,18.0,0.278,23.0,28.0,0.821,36.0,26.0,52.0,62.0,45.0,41.0,15.0,170.0,40.0,15.0
LAL vs. ORL,,,2008,103.0,109.0,,,,9.0,26.0,0.346,20.0,27.0,0.741,,,,12.0,28.0,0.429,23.0,34.0,0.676,,,,,63.0,43.0,,212.0,54.0,21.0
IND vs. TOR,IND,TOR,2008,111.0,104.0,38.0,10.0,10.0,9.0,27.0,0.333,26.0,32.0,0.813,36.0,14.0,2.0,7.0,22.0,0.318,29.0,38.0,0.763,38.0,32.0,74.0,70.0,48.0,55.0,12.0,215.0,49.0,16.0
OKC vs. DET,OKC,DET,2008,89.0,79.0,42.0,16.0,8.0,4.0,9.0,0.444,15.0,20.0,0.75,44.0,5.0,10.0,2.0,8.0,0.25,3.0,8.0,0.375,28.0,30.0,86.0,58.0,18.0,18.0,18.0,168.0,17.0,6.0
WAS vs. NYK,NYK,WAS,2008,96.0,89.0,36.0,12.0,4.0,7.0,12.0,0.583,15.0,18.0,0.833,36.0,16.0,13.0,12.0,38.0,0.316,13.0,17.0,0.765,38.0,28.0,72.0,66.0,57.0,28.0,17.0,185.0,50.0,19.0
GSW vs. ATL,ATL,GSW,2008,119.0,114.0,54.0,9.0,25.0,9.0,16.0,0.563,28.0,34.0,0.824,38.0,10.0,23.0,9.0,29.0,0.31,23.0,31.0,0.742,28.0,44.0,92.0,72.0,54.0,51.0,48.0,233.0,45.0,18.0
CHA vs. POR,POR,CHA,2008,102.0,97.0,46.0,18.0,10.0,4.0,13.0,0.308,22.0,31.0,0.71,52.0,14.0,12.0,5.0,17.0,0.294,16.0,31.0,0.516,30.0,24.0,98.0,54.0,27.0,38.0,22.0,199.0,30.0,9.0
LAC vs. MIL,LAC,MIL,2008,101.0,92.0,48.0,21.0,10.0,4.0,11.0,0.364,13.0,19.0,0.684,22.0,11.0,9.0,9.0,22.0,0.409,21.0,27.0,0.778,36.0,40.0,70.0,76.0,39.0,34.0,19.0,193.0,33.0,13.0
DAL vs. UTA,UTA,DAL,2008,115.0,108.0,36.0,7.0,15.0,6.0,18.0,0.333,23.0,26.0,0.885,40.0,19.0,23.0,8.0,18.0,0.444,22.0,24.0,0.917,50.0,38.0,76.0,88.0,42.0,45.0,38.0,223.0,36.0,14.0
NYK vs. PHI,NYK,PHI,2008,97.0,107.0,36.0,11.0,12.0,10.0,23.0,0.435,17.0,19.0,0.895,52.0,24.0,16.0,6.0,15.0,0.4,15.0,27.0,0.556,34.0,34.0,88.0,68.0,48.0,32.0,28.0,204.0,38.0,16.0
CHI vs. SAS,SAS,CHI,2008,87.0,92.0,40.0,16.0,6.0,3.0,10.0,0.3,8.0,10.0,0.8,24.0,6.0,11.0,7.0,23.0,0.304,15.0,19.0,0.789,36.0,46.0,64.0,82.0,30.0,23.0,17.0,179.0,33.0,10.0
DEN vs. ORL,DEN,ORL,2008,88.0,106.0,40.0,15.0,12.0,5.0,16.0,0.313,21.0,30.0,0.7,40.0,14.0,0.0,11.0,26.0,0.423,21.0,30.0,0.7,22.0,34.0,80.0,56.0,48.0,42.0,12.0,194.0,42.0,16.0
DET vs. NOH,DET,NOH,2008,85.0,91.0,40.0,13.0,9.0,6.0,19.0,0.316,7.0,13.0,0.538,36.0,3.0,14.0,2.0,14.0,0.143,19.0,20.0,0.95,32.0,34.0,76.0,66.0,24.0,26.0,23.0,176.0,33.0,8.0
HOU vs. MIA,HOU,MIA,2008,93.0,86.0,48.0,13.0,5.0,3.0,15.0,0.2,12.0,17.0,0.706,30.0,14.0,7.0,7.0,18.0,0.389,7.0,13.0,0.538,30.0,42.0,78.0,72.0,30.0,19.0,12.0,179.0,33.0,10.0
OKC vs. MIA,OKC,MIA,2008,94.0,104.0,46.0,14.0,18.0,4.0,13.0,0.308,22.0,30.0,0.733,38.0,15.0,7.0,11.0,21.0,0.524,11.0,14.0,0.786,22.0,44.0,84.0,66.0,45.0,33.0,25.0,198.0,34.0,15.0
TOR vs. PHX,TOR,PHX,2008,113.0,117.0,38.0,15.0,11.0,7.0,15.0,0.467,18.0,20.0,0.9,56.0,8.0,25.0,5.0,18.0,0.278,26.0,30.0,0.867,50.0,30.0,94.0,80.0,36.0,44.0,36.0,230.0,33.0,12.0
GSW vs. WAS,GSW,WAS,2008,119.0,98.0,42.0,10.0,25.0,13.0,21.0,0.619,18.0,22.0,0.818,50.0,20.0,10.0,5.0,18.0,0.278,13.0,19.0,0.684,46.0,30.0,92.0,76.0,54.0,31.0,35.0,217.0,39.0,18.0
POR vs. MIL,MIL,POR,2008,102.0,85.0,34.0,11.0,14.0,4.0,16.0,0.25,24.0,34.0,0.706,40.0,26.0,8.0,6.0,19.0,0.316,13.0,18.0,0.722,40.0,26.0,74.0,66.0,30.0,37.0,22.0,187.0,35.0,10.0
PHI vs. DAL,DAL,PHI,2008,93.0,95.0,26.0,3.0,11.0,9.0,22.0,0.409,14.0,21.0,0.667,34.0,19.0,9.0,8.0,20.0,0.4,17.0,20.0,0.85,44.0,36.0,60.0,80.0,51.0,31.0,20.0,188.0,42.0,17.0
NYK vs. CHI,,,2008,102.0,98.0,,,,9.0,23.0,0.391,21.0,28.0,0.75,,,,4.0,17.0,0.235,14.0,17.0,0.824,,,,,39.0,35.0,,200.0,40.0,13.0
NOH vs. IND,IND,NOH,2008,103.0,100.0,38.0,14.0,23.0,12.0,26.0,0.462,27.0,34.0,0.794,30.0,11.0,11.0,8.0,19.0,0.421,18.0,22.0,0.818,26.0,44.0,68.0,70.0,60.0,45.0,34.0,203.0,45.0,20.0
BOS vs. PHX,BOS,PHX,2008,104.0,87.0,42.0,14.0,15.0,5.0,15.0,0.333,9.0,14.0,0.643,38.0,9.0,14.0,4.0,11.0,0.364,15.0,21.0,0.714,48.0,30.0,80.0,78.0,27.0,24.0,29.0,191.0,26.0,9.0
LAL vs. CLE,CLE,LAL,2008,105.0,88.0,28.0,17.0,8.0,10.0,24.0,0.417,7.0,15.0,0.467,42.0,17.0,15.0,8.0,23.0,0.348,12.0,19.0,0.632,60.0,26.0,70.0,86.0,54.0,19.0,23.0,193.0,47.0,18.0
HOU vs. DEN,HOU,DEN,2008,115.0,113.0,58.0,18.0,10.0,9.0,25.0,0.36,14.0,20.0,0.7,50.0,9.0,14.0,9.0,17.0,0.529,20.0,27.0,0.741,34.0,34.0,108.0,68.0,54.0,34.0,24.0,228.0,42.0,18.0
LAC vs. MIN,MIN,LAC,2008,86.0,94.0,58.0,20.0,10.0,6.0,20.0,0.3,12.0,17.0,0.706,34.0,15.0,4.0,4.0,18.0,0.222,12.0,15.0,0.8,10.0,44.0,92.0,54.0,30.0,24.0,14.0,180.0,38.0,10.0
ATL vs. TOR,,,2008,87.0,84.0,,,,7.0,26.0,0.269,14.0,20.0,0.7,,,,2.0,18.0,0.111,12.0,15.0,0.8,,,,,27.0,26.0,,171.0,44.0,9.0
CHA vs. SAS,SAS,CHA,2008,84.0,86.0,26.0,8.0,3.0,5.0,14.0,0.357,21.0,28.0,0.75,34.0,11.0,4.0,5.0,21.0,0.238,23.0,34.0,0.676,32.0,24.0,60.0,56.0,30.0,44.0,7.0,170.0,35.0,10.0
MEM vs. DET,DET,MEM,2008,79.0,87.0,20.0,7.0,3.0,2.0,8.0,0.25,13.0,17.0,0.765,38.0,14.0,10.0,1.0,11.0,0.091,14.0,22.0,0.636,44.0,34.0,58.0,78.0,9.0,27.0,13.0,166.0,19.0,3.0
CHI vs. ATL,ATL,CHI,2008,102.0,105.0,36.0,23.0,14.0,4.0,16.0,0.25,18.0,25.0,0.72,40.0,26.0,19.0,9.0,25.0,0.36,22.0,28.0,0.786,44.0,34.0,76.0,78.0,39.0,40.0,33.0,207.0,41.0,13.0
SAS vs. IND,SAS,IND,2008,99.0,81.0,40.0,15.0,23.0,6.0,15.0,0.4,19.0,25.0,0.76,26.0,9.0,16.0,7.0,16.0,0.438,14.0,16.0,0.875,34.0,34.0,66.0,68.0,39.0,33.0,39.0,180.0,31.0,13.0
UTA vs. MIN,UTA,MIN,2008,112.0,107.0,46.0,19.0,15.0,5.0,15.0,0.333,27.0,29.0,0.931,58.0,21.0,14.0,8.0,20.0,0.4,11.0,16.0,0.688,34.0,30.0,104.0,64.0,39.0,38.0,29.0,219.0,35.0,13.0
DEN vs. SAC,DEN,SAC,2008,118.0,99.0,56.0,10.0,27.0,3.0,14.0,0.214,35.0,46.0,0.761,30.0,9.0,13.0,11.0,22.0,0.5,18.0,22.0,0.818,24.0,40.0,86.0,64.0,42.0,53.0,40.0,217.0,36.0,14.0
MIL vs. DAL,DAL,MIL,2008,133.0,99.0,26.0,14.0,8.0,13.0,26.0,0.5,24.0,29.0,0.828,38.0,8.0,17.0,5.0,11.0,0.455,34.0,39.0,0.872,70.0,22.0,64.0,92.0,54.0,58.0,25.0,232.0,37.0,18.0
SAC vs. WAS,WAS,SAC,2008,107.0,110.0,56.0,16.0,4.0,12.0,25.0,0.48,25.0,30.0,0.833,34.0,9.0,15.0,2.0,14.0,0.143,22.0,27.0,0.815,14.0,52.0,90.0,66.0,42.0,47.0,19.0,217.0,39.0,14.0
NOH vs. NJN,NJN,NOH,2008,102.0,92.0,38.0,16.0,2.0,9.0,22.0,0.409,13.0,19.0,0.684,42.0,10.0,19.0,9.0,19.0,0.474,9.0,18.0,0.5,42.0,32.0,80.0,74.0,54.0,22.0,21.0,194.0,41.0,18.0
NYK vs. PHX,PHX,NYK,2008,114.0,109.0,54.0,11.0,8.0,9.0,27.0,0.333,23.0,28.0,0.821,44.0,21.0,8.0,5.0,15.0,0.333,22.0,36.0,0.611,28.0,38.0,98.0,66.0,42.0,45.0,16.0,223.0,42.0,14.0
HOU vs. UTA,HOU,UTA,2008,108.0,99.0,38.0,14.0,13.0,11.0,24.0,0.458,27.0,28.0,0.964,58.0,19.0,11.0,6.0,19.0,0.316,19.0,28.0,0.679,32.0,16.0,96.0,48.0,51.0,46.0,24.0,207.0,43.0,17.0
LAC vs. LAL,LAC,LAL,2008,97.0,108.0,50.0,13.0,4.0,6.0,14.0,0.429,15.0,17.0,0.882,70.0,34.0,8.0,5.0,21.0,0.238,17.0,23.0,0.739,26.0,16.0,120.0,42.0,33.0,32.0,12.0,205.0,35.0,11.0
CHA vs. MEM,MEM,CHA,2008,101.0,86.0,34.0,9.0,20.0,7.0,16.0,0.438,18.0,23.0,0.783,46.0,14.0,19.0,3.0,10.0,0.3,25.0,35.0,0.714,42.0,12.0,80.0,54.0,30.0,43.0,39.0,187.0,26.0,10.0
POR vs. CLE,CLE,POR,2008,98.0,104.0,32.0,16.0,6.0,7.0,22.0,0.318,25.0,33.0,0.758,30.0,17.0,7.0,11.0,19.0,0.579,11.0,15.0,0.733,34.0,52.0,62.0,86.0,54.0,36.0,13.0,202.0,41.0,18.0
MIA vs. BOS,MIA,BOS,2008,83.0,98.0,34.0,6.0,21.0,7.0,25.0,0.28,12.0,16.0,0.75,26.0,14.0,8.0,15.0,25.0,0.6,9.0,13.0,0.692,30.0,48.0,60.0,78.0,66.0,21.0,29.0,181.0,50.0,22.0
ORL vs. BOS,ORL,BOS,2008,80.0,90.0,30.0,11.0,3.0,7.0,22.0,0.318,21.0,29.0,0.724,42.0,17.0,3.0,0.0,6.0,0.0,20.0,25.0,0.8,22.0,28.0,72.0,50.0,21.0,41.0,6.0,170.0,28.0,7.0
LAL vs. WAS,WAS,LAL,2008,117.0,97.0,44.0,17.0,8.0,8.0,19.0,0.421,19.0,23.0,0.826,58.0,9.0,7.0,5.0,15.0,0.333,18.0,20.0,0.9,46.0,16.0,102.0,62.0,39.0,37.0,15.0,214.0,34.0,13.0
ATL vs. MIL,ATL,MIL,2008,117.0,87.0,50.0,9.0,18.0,8.0,16.0,0.5,23.0,30.0,0.767,20.0,11.0,7.0,10.0,22.0,0.455,17.0,23.0,0.739,36.0,40.0,70.0,76.0,54.0,40.0,25.0,204.0,38.0,18.0
NYK vs. MEM,NYK,MEM,2008,108.0,88.0,40.0,16.0,5.0,9.0,32.0,0.281,23.0,27.0,0.852,28.0,14.0,9.0,7.0,16.0,0.438,21.0,29.0,0.724,36.0,32.0,68.0,68.0,48.0,44.0,14.0,196.0,48.0,16.0
GSW vs. CLE,,,2008,105.0,106.0,,,,6.0,15.0,0.4,29.0,36.0,0.806,,,,10.0,20.0,0.5,24.0,34.0,0.706,,,,,48.0,53.0,,211.0,35.0,16.0
CHA vs. PHX,PHX,CHA,2008,98.0,76.0,36.0,17.0,6.0,7.0,15.0,0.467,11.0,15.0,0.733,46.0,10.0,16.0,6.0,14.0,0.429,16.0,26.0,0.615,44.0,8.0,82.0,52.0,39.0,27.0,22.0,174.0,29.0,13.0
IND vs. HOU,HOU,IND,2008,107.0,102.0,38.0,13.0,7.0,8.0,26.0,0.308,33.0,38.0,0.868,32.0,12.0,9.0,6.0,20.0,0.3,22.0,29.0,0.759,28.0,42.0,70.0,70.0,42.0,55.0,16.0,209.0,46.0,14.0
DET vs. DAL,DAL,DET,2008,91.0,112.0,40.0,9.0,12.0,1.0,3.0,0.333,28.0,29.0,0.966,36.0,11.0,2.0,6.0,14.0,0.429,16.0,21.0,0.762,22.0,54.0,76.0,76.0,21.0,44.0,14.0,203.0,17.0,7.0
LAC vs. OKC,LAC,OKC,2008,107.0,104.0,34.0,9.0,6.0,11.0,19.0,0.579,20.0,24.0,0.833,32.0,12.0,9.0,7.0,15.0,0.467,33.0,39.0,0.846,42.0,32.0,66.0,74.0,54.0,53.0,15.0,211.0,34.0,18.0
MIN vs. NOH,MIN,NOH,2008,116.0,108.0,52.0,20.0,6.0,10.0,21.0,0.476,26.0,34.0,0.765,36.0,9.0,9.0,13.0,22.0,0.591,11.0,13.0,0.846,28.0,48.0,88.0,76.0,69.0,37.0,15.0,224.0,43.0,23.0
MEM vs. NJN,NJN,MEM,2008,88.0,99.0,28.0,14.0,6.0,6.0,14.0,0.429,22.0,30.0,0.733,30.0,15.0,13.0,9.0,29.0,0.31,14.0,18.0,0.778,32.0,46.0,58.0,78.0,45.0,36.0,19.0,187.0,43.0,15.0
POR vs. WAS,POR,WAS,2008,100.0,87.0,42.0,13.0,15.0,7.0,17.0,0.412,23.0,31.0,0.742,28.0,11.0,9.0,10.0,16.0,0.625,13.0,17.0,0.765,28.0,36.0,70.0,64.0,51.0,36.0,24.0,187.0,33.0,17.0
MIA vs. ORL,ORL,MIA,2008,103.0,97.0,38.0,2.0,10.0,5.0,14.0,0.357,24.0,32.0,0.75,32.0,6.0,2.0,9.0,25.0,0.36,22.0,28.0,0.786,36.0,34.0,70.0,70.0,42.0,46.0,12.0,200.0,39.0,14.0
UTA vs. CLE,CLE,UTA,2008,97.0,102.0,50.0,18.0,11.0,3.0,14.0,0.214,14.0,21.0,0.667,62.0,19.0,14.0,10.0,27.0,0.37,12.0,20.0,0.6,30.0,18.0,112.0,48.0,39.0,26.0,25.0,199.0,41.0,13.0
PHI vs. NYK,NYK,PHI,2008,116.0,110.0,40.0,20.0,7.0,6.0,15.0,0.4,26.0,32.0,0.813,54.0,24.0,21.0,15.0,32.0,0.469,17.0,22.0,0.773,44.0,24.0,94.0,68.0,63.0,43.0,28.0,226.0,47.0,21.0
MIL vs. SAC,,,2008,106.0,104.0,,,,3.0,12.0,0.25,23.0,32.0,0.719,,,,7.0,20.0,0.35,27.0,30.0,0.9,,,,,30.0,50.0,,210.0,32.0,10.0
ATL vs. PHX,PHX,ATL,2008,99.0,104.0,42.0,4.0,30.0,5.0,22.0,0.227,24.0,30.0,0.8,40.0,16.0,23.0,5.0,10.0,0.5,27.0,32.0,0.844,28.0,32.0,82.0,60.0,30.0,51.0,53.0,203.0,32.0,10.0
TOR vs. SAC,SAC,TOR,2008,113.0,97.0,36.0,15.0,7.0,6.0,10.0,0.6,25.0,29.0,0.862,36.0,16.0,4.0,11.0,25.0,0.44,14.0,17.0,0.824,46.0,36.0,72.0,82.0,51.0,39.0,11.0,210.0,35.0,17.0
DET vs. HOU,HOU,DET,2008,105.0,108.0,26.0,11.0,3.0,6.0,13.0,0.462,11.0,20.0,0.55,36.0,11.0,9.0,12.0,25.0,0.48,18.0,24.0,0.75,62.0,42.0,62.0,104.0,54.0,29.0,12.0,213.0,38.0,18.0
DEN vs. UTA,DEN,UTA,2008,117.0,97.0,48.0,21.0,12.0,8.0,24.0,0.333,25.0,37.0,0.676,54.0,32.0,9.0,3.0,13.0,0.231,26.0,41.0,0.634,36.0,14.0,102.0,50.0,33.0,51.0,21.0,214.0,37.0,11.0
LAL vs. SAS,LAL,SAS,2008,99.0,85.0,32.0,6.0,9.0,7.0,17.0,0.412,28.0,32.0,0.875,32.0,8.0,10.0,5.0,23.0,0.217,14.0,16.0,0.875,32.0,34.0,64.0,66.0,36.0,42.0,19.0,184.0,40.0,12.0
GSW vs. LAC,LAC,GSW,2008,107.0,92.0,24.0,13.0,9.0,8.0,17.0,0.471,17.0,23.0,0.739,40.0,16.0,27.0,8.0,18.0,0.444,18.0,27.0,0.667,58.0,26.0,64.0,84.0,48.0,35.0,36.0,199.0,35.0,16.0
MIN vs. CHI,,,2008,109.0,108.0,,,,5.0,18.0,0.278,22.0,28.0,0.786,,,,5.0,14.0,0.357,19.0,26.0,0.731,,,,,30.0,41.0,,217.0,32.0,10.0
IND vs. CHA,CHA,IND,2008,98.0,93.0,32.0,10.0,12.0,5.0,20.0,0.25,19.0,23.0,0.826,30.0,21.0,10.0,7.0,23.0,0.304,18.0,30.0,0.6,42.0,38.0,62.0,80.0,36.0,37.0,22.0,191.0,43.0,12.0
OKC vs. NJN,NJN,OKC,2008,94.0,85.0,42.0,14.0,12.0,4.0,11.0,0.364,30.0,38.0,0.789,36.0,13.0,18.0,4.0,17.0,0.235,13.0,18.0,0.722,18.0,32.0,78.0,50.0,24.0,43.0,30.0,179.0,28.0,8.0
LAC vs. POR,LAC,POR,2008,88.0,113.0,24.0,16.0,5.0,8.0,20.0,0.4,20.0,26.0,0.769,46.0,17.0,12.0,8.0,18.0,0.444,25.0,37.0,0.676,36.0,34.0,70.0,70.0,48.0,45.0,17.0,201.0,38.0,16.0
MIA vs. ATL,MIA,ATL,2008,95.0,79.0,32.0,16.0,11.0,7.0,21.0,0.333,18.0,22.0,0.818,38.0,17.0,6.0,3.0,16.0,0.188,24.0,34.0,0.706,38.0,14.0,70.0,52.0,30.0,42.0,17.0,174.0,37.0,10.0
MIL vs. MIN,MIL,MIN,2008,83.0,90.0,30.0,15.0,13.0,1.0,14.0,0.071,14.0,19.0,0.737,26.0,8.0,10.0,8.0,27.0,0.296,22.0,25.0,0.88,38.0,34.0,56.0,72.0,27.0,36.0,23.0,173.0,41.0,9.0
WAS vs. PHX,PHX,WAS,2008,87.0,103.0,56.0,11.0,12.0,4.0,11.0,0.364,19.0,24.0,0.792,28.0,9.0,17.0,6.0,17.0,0.353,17.0,19.0,0.895,8.0,52.0,84.0,60.0,30.0,36.0,29.0,190.0,28.0,10.0
NYK vs. HOU,HOU,NYK,2008,104.0,98.0,34.0,10.0,5.0,6.0,21.0,0.286,24.0,29.0,0.828,48.0,11.0,14.0,10.0,33.0,0.303,18.0,20.0,0.9,40.0,22.0,82.0,62.0,48.0,42.0,19.0,202.0,54.0,16.0
UTA vs. SAS,UTA,SAS,2008,100.0,106.0,38.0,13.0,11.0,6.0,17.0,0.353,18.0,25.0,0.72,44.0,9.0,5.0,11.0,20.0,0.55,21.0,32.0,0.656,38.0,30.0,82.0,68.0,51.0,39.0,16.0,206.0,37.0,17.0
MEM vs. DEN,MEM,DEN,2008,85.0,100.0,36.0,10.0,22.0,4.0,9.0,0.444,21.0,30.0,0.7,36.0,12.0,20.0,9.0,23.0,0.391,27.0,34.0,0.794,24.0,28.0,72.0,52.0,39.0,48.0,42.0,185.0,32.0,13.0
ORL vs. IND,IND,ORL,2008,135.0,111.0,52.0,6.0,30.0,15.0,33.0,0.455,30.0,37.0,0.811,40.0,13.0,17.0,9.0,24.0,0.375,14.0,17.0,0.824,38.0,48.0,92.0,86.0,72.0,44.0,47.0,246.0,57.0,24.0
CLE vs. SAC,CLE,SAC,2008,117.0,110.0,40.0,22.0,20.0,11.0,26.0,0.423,32.0,40.0,0.8,30.0,3.0,12.0,12.0,25.0,0.48,24.0,26.0,0.923,34.0,44.0,70.0,78.0,69.0,56.0,32.0,227.0,51.0,23.0
LAL vs. CHA,CHA,LAL,2008,110.0,117.0,54.0,17.0,4.0,7.0,22.0,0.318,17.0,23.0,0.739,38.0,10.0,17.0,9.0,26.0,0.346,18.0,27.0,0.667,32.0,52.0,92.0,84.0,48.0,35.0,21.0,227.0,48.0,16.0
MIN vs. DET,DET,MIN,2008,89.0,98.0,34.0,13.0,11.0,2.0,12.0,0.167,13.0,16.0,0.813,46.0,10.0,4.0,3.0,8.0,0.375,23.0,30.0,0.767,40.0,26.0,80.0,66.0,15.0,36.0,15.0,187.0,20.0,5.0
BOS vs. SAC,BOS,SAC,2008,119.0,100.0,50.0,7.0,24.0,9.0,13.0,0.692,22.0,27.0,0.815,30.0,10.0,3.0,8.0,19.0,0.421,26.0,30.0,0.867,38.0,36.0,80.0,74.0,51.0,48.0,27.0,219.0,32.0,17.0
LAC vs. CHI,LAC,CHI,2008,75.0,95.0,26.0,4.0,5.0,6.0,20.0,0.3,15.0,21.0,0.714,36.0,15.0,6.0,1.0,7.0,0.143,20.0,25.0,0.8,28.0,38.0,62.0,66.0,21.0,35.0,11.0,170.0,27.0,7.0
NJN vs. TOR,NJN,TOR,2008,106.0,107.0,34.0,16.0,5.0,15.0,32.0,0.469,17.0,22.0,0.773,28.0,8.0,8.0,11.0,22.0,0.5,18.0,24.0,0.75,40.0,50.0,62.0,90.0,78.0,35.0,13.0,213.0,54.0,26.0
OKC vs. MEM,,,2008,114.0,102.0,,,,8.0,13.0,0.615,18.0,29.0,0.621,,,,8.0,21.0,0.381,20.0,25.0,0.8,,,,,48.0,38.0,,216.0,34.0,16.0
NYK vs. ATL,ATL,NYK,2008,112.0,104.0,50.0,15.0,18.0,7.0,22.0,0.318,17.0,23.0,0.739,62.0,17.0,17.0,5.0,17.0,0.294,17.0,32.0,0.531,38.0,20.0,112.0,58.0,36.0,34.0,35.0,216.0,39.0,12.0
POR vs. CHA,CHA,POR,2008,88.0,74.0,32.0,16.0,6.0,2.0,15.0,0.133,20.0,27.0,0.741,48.0,17.0,13.0,4.0,9.0,0.444,12.0,17.0,0.706,34.0,10.0,80.0,44.0,18.0,32.0,19.0,162.0,24.0,6.0
MIA vs. WAS,MIA,WAS,2008,93.0,71.0,22.0,5.0,18.0,10.0,32.0,0.313,19.0,22.0,0.864,34.0,3.0,4.0,2.0,13.0,0.154,9.0,13.0,0.692,42.0,26.0,56.0,68.0,36.0,28.0,22.0,164.0,45.0,12.0
NOH vs. DEN,NOH,DEN,2008,94.0,81.0,26.0,11.0,9.0,7.0,18.0,0.389,19.0,25.0,0.76,42.0,9.0,4.0,4.0,22.0,0.182,11.0,16.0,0.688,42.0,24.0,68.0,66.0,33.0,30.0,13.0,175.0,40.0,11.0
IND vs. MIL,MIL,IND,2008,107.0,99.0,32.0,5.0,10.0,5.0,15.0,0.333,20.0,31.0,0.645,40.0,15.0,12.0,3.0,13.0,0.231,32.0,38.0,0.842,50.0,24.0,72.0,74.0,24.0,52.0,22.0,206.0,28.0,8.0
HOU vs. PHI,HOU,PHI,2008,93.0,95.0,44.0,15.0,14.0,8.0,20.0,0.4,11.0,16.0,0.688,42.0,14.0,25.0,1.0,12.0,0.083,20.0,21.0,0.952,30.0,32.0,86.0,62.0,27.0,31.0,39.0,188.0,32.0,9.0
ORL vs. CLE,ORL,CLE,2008,99.0,88.0,44.0,11.0,19.0,11.0,31.0,0.355,16.0,18.0,0.889,34.0,15.0,7.0,7.0,14.0,0.5,13.0,20.0,0.65,28.0,34.0,78.0,62.0,54.0,29.0,26.0,187.0,45.0,18.0
PHX vs. SAS,SAS,PHX,2008,104.0,114.0,36.0,17.0,6.0,4.0,7.0,0.571,20.0,25.0,0.8,44.0,6.0,10.0,6.0,19.0,0.316,38.0,44.0,0.864,44.0,26.0,80.0,70.0,30.0,58.0,16.0,218.0,26.0,10.0
DET vs. BOS,DET,BOS,2008,78.0,86.0,34.0,4.0,4.0,1.0,8.0,0.125,17.0,23.0,0.739,34.0,14.0,5.0,4.0,10.0,0.4,20.0,25.0,0.8,26.0,28.0,68.0,54.0,15.0,37.0,9.0,164.0,18.0,5.0
SAC vs. CHI,SAC,CHI,2008,88.0,109.0,36.0,21.0,13.0,4.0,16.0,0.25,28.0,33.0,0.848,52.0,13.0,18.0,4.0,11.0,0.364,15.0,27.0,0.556,20.0,38.0,88.0,58.0,24.0,43.0,31.0,197.0,27.0,8.0
PHI vs. WAS,WAS,PHI,2008,104.0,94.0,48.0,13.0,14.0,9.0,23.0,0.391,11.0,20.0,0.55,40.0,9.0,21.0,2.0,13.0,0.154,22.0,28.0,0.786,36.0,30.0,88.0,66.0,33.0,33.0,35.0,198.0,36.0,11.0
IND vs. MIA,IND,MIA,2008,114.0,103.0,32.0,19.0,13.0,15.0,31.0,0.484,25.0,29.0,0.862,36.0,16.0,3.0,10.0,29.0,0.345,15.0,21.0,0.714,42.0,42.0,68.0,84.0,75.0,40.0,16.0,217.0,60.0,25.0
